epoch,dice_hard,loss,val_dice_hard,val_loss
0,0.0949816047538945,0.15223705789444758,0.48488152939379114,0.2977735457937896
1,0.1627654143616598,0.1401582982656724,0.5155965500886613,0.29279540168810947
2,0.19875344188298252,0.14057973507596752,0.5129544882130298,0.30131159228830173
3,0.23815686568367095,0.13943250002376856,0.563741237135783,0.2892403296917665
4,0.2651881140387501,0.13859508389486702,0.5535090940008428,0.28509237440427393
5,0.3099239913397639,0.14254562449101818,0.585448259795212,0.28769602692632285
6,0.35074439711830696,0.12820400195895668,0.5872052851488396,0.27702901081528475
7,0.42780494056783946,0.13186363613669327,0.6113290366365861,0.28762288698350186
8,0.4619393373118336,0.1307956597982935,0.6281842006474154,0.27043838129464803
9,0.5109544820592102,0.11724479772808417,0.6294994413789158,0.2860535282056945
10,0.5281918008244637,0.12583510756434454,0.6766781219526876,0.27912910591224893
11,0.6109016572443745,0.1144631140526932,0.6846895234607605,0.2650269452096308
12,0.6501398108951747,0.10972208449128454,0.7070536418730939,0.258531494974051
13,0.6700725117955522,0.12476718442927719,0.7210562519118429,0.2720987022533072
14,0.7135887881619681,0.1224705353983333,0.7249686307313908,0.2672950416137944
15,0.7583888119730847,0.11669426275180292,0.7537170746640827,0.2651064591502934
16,0.807959163402592,0.10398701222557268,0.7361712790294453,0.2633201437758242
17,0.8615165730547633,0.09721660017486451,0.7562603671283448,0.24674405092941867
18,0.9025409586404215,0.10631623947761155,0.766019617872211,0.24980089351825388
19,0.9416491656079217,0.09880304987479203,0.7930132132305306,0.24231738119050258
