Scan Name,Dice Coefficient,Jaccard Index
154,0.0006199591762731096,0.0003100757052759674
155,0.006780760557288931,0.0034019140609864774
155_0,0.006000139538128794,0.003009097270818754
155_1,0.006538249525326147,0.003279846991681325
155_2,0.006807039549664619,0.0034151432825282805
155_3,0.006692693809258227,0.003357582540570789
155_4,0.007001166861143524,0.00351288056206089
155_5,0.006699193955430477,0.0033608544857432246
155_6,0.006465714897129406,0.0032433427132133627
155_7,0.005913231434306006,0.0029653832157761485
156,0.00035962018575765747,0.00017984243036293587
157,0.0019076536654770327,0.0009547374869718114
158,0.0018596340896453022,0.0009306824091900326
159,0.0007625941860729814,0.00038144253596661523
15_0,0.0013214800576645844,0.0006611768948728737
15_1,0.0019710170896140838,0.0009864807299957402
15_2,0.0026633139660315877,0.0013334326579261026
15_3,0.0030740215478515264,0.0015393768126719715
15_4,0.0036146809377430467,0.0018106128627718703
15_5,0.003748814604077762,0.001877927302687737
15_6,0.0032933532121320014,0.0016493926223113786
15_7,0.0025270251298610135,0.0012651110486364915
16,0.0070685696276619695,0.0035468202869083925
160,0.0007936051526827305,0.0003969600911282296
161,0.0005931096625548199,0.0002966428021335463
162,0.0013053498949601257,0.0006531012102781803
163,0.006912531079447921,0.0034682527421597406
163_0,0.005840326139560827,0.0029287153963226524
163_1,0.006657325893110235,0.0033397799483187336
163_2,0.006684641278856432,0.00335352920931945
163_3,0.0066278731908811775,0.0033249552864425343
163_4,0.006066148452979729,0.003042301753527694
163_5,0.004998187968108239,0.00250535510191724
163_6,0.0035513554590804095,0.0017788363696663175
163_7,0.002311219168111179,0.0011569465625915602
164,0.006600828073033326,0.0033113428389018942
164_0,0.0043904913502072805,0.0022000753810688333
164_1,0.005455962587685113,0.0027354435326299334
164_2,0.006831885583168718,0.003427651452856809
164_3,0.0072484160079135645,0.003637390664315914
164_4,0.005344735435595938,0.0026795284030010718
164_5,0.004969196055066806,0.0024907866310840006
164_6,0.004105145791803223,0.0020567946167844597
164_7,0.00296914632801432,0.001486780398287229
165,0.001160560292719096,0.0005806170669161169
166,0.003461120432217966,0.0017335602465038107
167,0.008671592721591095,0.004354677355023899
167_0,0.004884764564938245,0.002448362118728975
167_1,0.005728087425924215,0.0028722700198544012
167_2,0.0076046627897797545,0.0038168443018080484
167_3,0.008512480161592844,0.004274433094254872
167_4,0.008105634723493267,0.004069309530060384
167_5,0.007120268640172138,0.003572854160804612
167_6,0.0057430664573521716,0.0028798026777572963
167_7,0.0037341496562735034,0.0018705673172891976
168,0.0016353383458646616,0.0008183383029356711
169,0.0021811910317540836,0.0010917862130252634
16_0,0.004120879120879121,0.0020646937370956643
16_1,0.0054996003197442045,0.0027573824104652283
16_2,0.006482696801869578,0.00325188890583975
16_3,0.007073358832739992,0.0035492319118164404
16_4,0.005760488086599831,0.0028885638120131583
16_5,0.004875454303696481,0.002443684187141778
16_6,0.0042857249520282525,0.002147464196459303
16_7,0.004028486073810314,0.0020183084005472867
17,0.0006805567177084205,0.0003403941876297404
170,0.0009931932017637742,0.0004968433315915262
171,0.0010236486093500995,0.0005120864029421691
172,0.0014851574810280188,0.0007431305734793011
173,0.0006017232329181017,0.0003009521614128103
174,0.0006432353086704821,0.00032172112552898376
175,0.0007952749032577175,0.0003977956300694687
176,0.002922589338242271,0.0014634331762201612
177,0.01166942592509732,0.005868956639932309
177_0,0.008419979433453158,0.00422778866352451
177_1,0.009966571198027966,0.005008243104754267
177_2,0.011132058533081964,0.005597183352893382
177_3,0.011999781822148689,0.006036106893965722
177_4,0.011561003981924747,0.005814110468098894
177_5,0.011229646266142616,0.00564652738565782
177_6,0.009671639608015212,0.004859318593094073
177_7,0.00786598148526056,0.00394852023616621
178,0.0003883400888327953,0.00019420775374456826
179,0.0006718635600155045,0.0003360446680912663
18,0.0008839478470770224,0.0004421693508613799
180,0.0026065305910729568,0.0013049660124523623
180_0,0.003979016776834002,0.0019934744225026647
180_1,0.004230396125540652,0.0021196816092038037
180_2,0.002961100068957125,0.001482745313103
180_3,0.002580441308125757,0.0012918874739645126
180_4,0.002438599547117227,0.001220788280432508
180_5,0.0031726093740894936,0.0015888250476647514
180_6,0.003929374995947427,0.0019685550935550937
180_7,0.0035713130398214343,0.0017888507929923715
181,0.0013885793633106474,0.0006947720547240211
182,0.014762081540846855,0.007435925640743592
182_0,0.01151130099838399,0.0057889697860307706
182_1,0.012265592135851397,0.0061706393406103805
182_2,0.01295886824417236,0.006521690989215404
182_3,0.013676792330441856,0.006885481817678641
182_4,0.014818086457240656,0.007464346897457005
182_5,0.01444502985598876,0.0072750591513168076
182_6,0.013734918302836028,0.006914947269324308
182_7,0.012538333578517353,0.006308717189546205
183,0.0004031297528081652,0.0002016055129943917
184,0.0008559445347941454,0.0004281555060798082
185,0.0006892494904901396,0.0003447435524039919
186,0.00031855400080228416,0.00015930237360536672
187,0.0009524467897166471,0.00047645029163368655
188,0.0005749035439609576,0.0002875344242602378
189,0.0003636927651881843,0.000181879456715364
19,0.0005286571545872256,0.00026439846536380104
190,0.005260073668936265,0.0026369721684024986
190_0,0.0,0.0
190_1,0.0,0.0
190_2,0.0,0.0
190_3,0.003051696011700512,0.0015281797759139149
190_4,0.0035538392657264383,0.0017800826967552036
190_5,0.0022320488523899767,0.0011172713282880452
190_6,0.0,0.0
190_7,0.0,0.0
191,0.002436811406351264,0.001219892026578073
191_0,0.0004679883002924927,0.0002340489162234907
191_1,0.002150259067357513,0.0010762866812765019
191_2,0.0009227550085452313,0.0004615904717324596
191_3,0.0,0.0
192,0.0008607618404412397,0.0004305662277099176
193,0.0007470045119072519,0.00037364181201333154
194,0.010753905365632782,0.005406020599783759
194_0,0.0007733637251709541,0.0003868314432884745
194_1,0.004138540662166506,0.0020735610895254966
194_2,0.008101646017349378,0.004067298916709655
194_3,0.009731055091563865,0.0048893166506256015
194_4,0.010461444820633773,0.005258226734736802
194_5,0.006226553737865955,0.0031229996314472487
194_6,0.0032943044254812462,0.0016498697994314906
194_7,0.007002631046346893,0.0035136178077462073
195,0.0013940751804829474,0.0006975237905435703
196,0.0004898016303397124,0.00024496080627099665
197,0.00340482882755074,0.001705317570988285
197_0,0.0011735259871828959,0.0005871074865378088
197_1,0.0022187465900411012,0.0011106053709604006
197_2,0.0031250282246046298,0.0015649593834240949
197_3,0.0031522293963301604,0.0015786027571732246
197_4,0.0037519155907065225,0.001879483627315162
