epoch,dice_hard,loss,val_dice_hard,val_loss
0,0.007593084428459406,0.15248979425430298,0.0551655495762825,10.24238166809082
1,0.023059855982661247,0.14046343958377838,0.014678787276148796,14.533765411376953
2,0.0460451485812664,0.14264838194847107,0.1684986332654953,8.39391860961914
3,0.04837597331404686,0.13954770362377167,0.13741290366649628,10.821518516540527
4,0.052229335367679596,0.14384951984882355,0.15822094476222992,9.192327117919922
5,0.05431173166632652,0.13937100565433502,0.217592937707901,7.418550109863281
6,0.059840081095695496,0.13986430859565735,0.2337597439289093,7.752125835418701
7,0.057247930973768234,0.14129578864574432,0.20657443797588348,9.570467567443848
8,0.06489480084180832,0.1397833058834076,0.15453137254714966,5.371834850311279
9,0.07973516529798508,0.13421520388126373,0.24622808194160461,8.061036205291748
10,0.06908049976825714,0.13383541798591614,0.22868153250217438,8.041643714904785
11,0.07149042731523514,0.133929727435112,0.25129271841049194,8.451895332336426
12,0.07814692503213882,0.1335906366109848,0.2679621407985687,7.009183502197266
13,0.08180649375915527,0.13247400319576263,0.18028177118301392,8.947517013549805
14,0.08159462904930115,0.1309554407596588,0.23411777412891388,6.9210015296936035
15,0.08081543242931366,0.13068891859054565,0.1893852481842041,5.587827301025391
16,0.0802815238237381,0.13478819823265076,0.23845392262935638,6.306766128540039
17,0.07707900351285934,0.12705643272399902,0.24975767529010773,7.55158052444458
18,0.0748188624382019,0.1303555200099945,0.23064608669281006,5.59985408782959
19,0.07610921359062195,0.13123731112480164,0.22351270711421967,4.977988338470459
