epoch,dice_hard,loss,val_dice_hard,val_loss
0,0.006593084428459406,0.15148979425430298,0.0541655495762825,10.14238166809082
1,0.022059855982661247,0.13946343958377838,0.013678787276148796,14.433765411376953
2,0.0450451485812664,0.14164838194847107,0.1674986332654953,8.29391860961914
3,0.04737597331404686,0.13854770362377167,0.13641290366649628,10.721518516540527
4,0.051229335367679596,0.14284951984882355,0.15722094476222992,9.092327117919922
5,0.05331173166632652,0.13837100565433502,0.216592937707901,7.318550109863281
6,0.058840081095695496,0.13886430859565735,0.2327597439289093,7.652125835418701
7,0.056247930973768234,0.14029578864574432,0.20557443797588348,9.470467567443848
8,0.06389480084180832,0.1387833058834076,0.15353137254714966,5.271834850311279
9,0.07873516529798508,0.13321520388126373,0.24522808194160461,7.961036205291748
10,0.06808049976825714,0.13283541798591614,0.22768153250217438,7.941643714904785
11,0.07049042731523514,0.132929727435112,0.25029271841049194,8.351895332336426
12,0.07714692503213882,0.1325906366109848,0.2669621407985687,6.909183502197266
13,0.08080649375915527,0.13147400319576263,0.17928177118301392,8.847517013549805
14,0.08059462904930115,0.1299554407596588,0.23311777412891388,6.8210015296936035
15,0.07981543242931366,0.12968891859054565,0.1883852481842041,5.487827301025391
16,0.0792815238237381,0.13378819823265076,0.23745392262935638,6.206766128540039
17,0.07607900351285934,0.12605643272399902,0.24875767529010773,7.45158052444458
18,0.0738188624382019,0.1293555200099945,0.22964608669281006,5.49985408782959
19,0.07510921359062195,0.13023731112480164,0.22251270711421967,4.877988338470459
