Scan Name,Dice Coefficient,Jaccard Index
154,0.0014707922852782017,0.0007359373481261368
155,0.010289946792302463,0.00517158104303368
155_0,0.009068328803074328,0.0045548166892249746
155_1,0.010002928257686677,0.005026604510994961
155_2,0.010418373797204597,0.00523646462150363
155_3,0.010262297770644673,0.0051576133674034125
155_4,0.010612254459840932,0.005334432406971267
155_5,0.010264823060698383,0.005158889072106664
155_6,0.009922706107273133,0.004986090810504974
155_7,0.008987234841374132,0.004513901165600066
156,0.00054916041820678,0.0002746556241020874
157,0.003244142142496899,0.001624706460597455
158,0.005369551484523057,0.0026920031670625497
159,0.002251911604066885,0.0011272250075709143
15_0,0.004616393442622951,0.002313536819412677
15_1,0.006719438010639111,0.0033710447684960542
15_2,0.009449899693802133,0.004747380983954383
15_3,0.010407501445486312,0.0052309713939148895
15_4,0.012645107794361525,0.006362782935224784
15_5,0.013172280939240902,0.006629805298603286
15_6,0.011681136543014996,0.005874880914576056
15_7,0.009344006994344416,0.0046939335712325005
16,0.010480218587416252,0.005267712683899612
160,0.001831477524585595,0.0009165781083953241
161,0.0014496187781386338,0.0007253351187736257
162,0.0017998509498432162,0.0009007360702574135
163,0.0161612525870602,0.008146454749981857
163_0,0.012671970384608539,0.006376385878812846
163_1,0.014724849527085125,0.007417032104379839
163_2,0.014887455808417275,0.007499552532665116
163_3,0.014931182110887025,0.00752174533010124
163_4,0.014370306181398037,0.007237153143979343
163_5,0.011941483124988725,0.006006605451312017
163_6,0.008494250184462001,0.004265240100486165
163_7,0.00558446503363371,0.0028000509100165457
164,0.02337127633809639,0.011823806898241744
164_0,0.015048677866158901,0.0075813838346329996
164_1,0.018867924528301886,0.009523809523809525
164_2,0.023724505235126793,0.012004654866172597
164_3,0.025123807223094576,0.0127217125382263
164_4,0.01903953431967014,0.009611264156718702
164_5,0.017804154302670624,0.008982035928143712
164_6,0.014734416686878487,0.007421886930759598
164_7,0.010608462382636264,0.005332516089488201
165,0.002435435587802527,0.0012192024384048768
166,0.004634349800722959,0.0023225566703827575
167,0.019964926480507218,0.010083117590952446
167_0,0.011156968570003175,0.005609778345343428
167_1,0.013100700313933832,0.006593540153747987
167_2,0.01738319724515421,0.008767804863249549
167_3,0.019481591546970448,0.009836612204068023
167_4,0.01859404990403071,0.009384270751347097
167_5,0.016417843128410988,0.008276865705580063
167_6,0.013244433717492307,0.006666362959925895
167_7,0.008560323053887688,0.004298560058326751
168,0.0022820505854546443,0.001142328718687954
169,0.004828883461074146,0.0024202853685306616
16_0,0.006256569397867761,0.0031381015740717497
16_1,0.008332812011260557,0.004183837571615238
16_2,0.009546777962437678,0.004796283508067048
16_3,0.010408866257301183,0.005231660958259626
16_4,0.008866576752085518,0.004453029941922455
16_5,0.007646272442184435,0.003837808686491164
16_6,0.006825255947098016,0.003424313882895991
16_7,0.0065298157391075915,0.0032756024096385543
17,0.0015829543455865725,0.0007921041051109574
170,0.0012202947643042742,0.0006105198892643235
171,0.0029490616621983914,0.0014767082829910056
172,0.0035571236461963357,0.0017817307413738159
173,0.0012165802508472612,0.0006086603675149267
174,0.0013780918727915195,0.0006895210480719931
175,0.0019665683382497543,0.000984251968503937
176,0.006414043379188117,0.0032173397680128695
177,0.023998034806598515,0.012144742378456948
177_0,0.017982813893051577,0.009072985854564248
177_1,0.021157412664168655,0.01069181187001511
177_2,0.023227752639517346,0.011750343354188921
177_3,0.02458151108430101,0.012443697992213147
177_4,0.02406305657660389,0.012178048827263487
177_5,0.023752157993587677,0.012018815397907267
177_6,0.01981285752168807,0.010005548009412484
177_7,0.016017003833453523,0.008073155800428528
178,0.0008910835947797353,0.00044574039336589717
179,0.001423020086475836,0.0007120166502355132
18,0.0029726176184759617,0.0014885212114272629
180,0.007215292111639594,0.003620708289800771
180_0,0.008699403264073622,0.004368704191789725
180_1,0.010345756623259992,0.0051997761207503565
180_2,0.007831725674049326,0.0039312571006077214
180_3,0.0070482046856177065,0.003536565561790657
180_4,0.00681093353033388,0.0034171035979027303
180_5,0.008771929824561403,0.004405286343612335
180_6,0.0109868194426818,0.005523753965070916
180_7,0.009988377161121604,0.005019255690010768
181,0.0017838462809007323,0.0008927193775211057
182,0.035565844162676906,0.018104879747174462
182_0,0.02750376854520932,0.013943635534818867
182_1,0.029276541774560058,0.01485573313311166
182_2,0.03103920741989882,0.015764258758664988
182_3,0.03276357028101873,0.01665461750609152
182_4,0.035331595713872,0.017983490566037735
182_5,0.0346909186766838,0.017651635056469137
182_6,0.03254391054380505,0.01654111149835125
182_7,0.029299767294266976,0.014867693628898074
