epoch,dice_hard,loss,val_dice_hard,val_loss
0,0.0038663570303469896,0.17275600135326385,1.666161182356518e-07,15.214795112609863
1,0.005507945083081722,0.15548662841320038,1.5543984943633404e-07,15.044615745544434
2,0.0035496363416314125,0.15669025480747223,1.6268901958937931e-07,14.284377098083496
3,0.005000093020498753,0.14779870212078094,1.9229948122756468e-07,14.452363014221191
4,0.0020001058001071215,0.15243211388587952,1.668514073571714e-07,14.172015190124512
5,0.006000098772346973,0.14922256767749786,1.6713937611712026e-07,17.0296688079834
6,0.005500079598277807,0.14678528904914856,1.551812403022268e-07,16.624073028564453
7,0.005000099074095488,0.1471865177154541,1.6225689591919945e-07,15.711078643798828
8,0.003500123042613268,0.14454945921897888,2.1211343437244068e-07,16.28277015686035
9,0.006500099319964647,0.14825862646102905,1.3815331101341144e-07,15.749364852905273
10,0.005000091157853603,0.14608116447925568,1.9322489208661864e-07,15.638002395629883
11,0.005500079598277807,0.14627614617347717,1.672526224183457e-07,15.519594192504883
12,0.00750008737668395,0.14266858994960785,1.7875230184927204e-07,16.120220184326172
13,0.006000093184411526,0.14904655516147614,1.6730429308609018e-07,15.320446968078613
14,0.005500104743987322,0.14243808388710022,1.858900304796407e-07,15.19276237487793
15,0.004000102635473013,0.1458732932806015,1.587243190215304e-07,15.744473457336426
16,0.006000096909701824,0.143070787191391,1.5574158851450193e-07,15.904444694519043
17,0.006000097841024399,0.14856073260307312,1.838034506818076e-07,15.655655860900879
18,0.00400011520832777,0.14711688458919525,1.5248055262873095e-07,15.088984489440918
19,0.006000100169330835,0.14434368908405304,1.0826870067148775e-07,16.952180862426758
