Scan Name,Dice Coefficient,Jaccard Index
154,0.02016898337421641,0.010187224669603524
155,0.3488279698053238,0.21126082771896054
155_0,0.2842453176643408,0.1656678082191781
155_1,0.31961077844311375,0.19020044543429845
155_2,0.3278084714548803,0.1960352422907489
155_3,0.33460656990068754,0.20091743119266056
155_4,0.37131147540983606,0.2279818822345244
155_5,0.36930860033726814,0.2264736297828335
155_6,0.35801946677951757,0.21804123711340206
155_7,0.3572761194029851,0.2174900624645088
156,0.004806248122559327,0.002408912978018669
157,0.003214357463336235,0.001609765913206788
158,0.24561403508771928,0.14
159,0.0044004400440044,0.002205071664829107
15_0,0.11820652173913043,0.0628158844765343
15_1,0.14247166756610902,0.07669959325973272
15_2,0.18321392016376664,0.10084507042253521
15_3,0.20772704465629704,0.11590145576707726
15_4,0.22613531047265986,0.12748171368861025
15_5,0.2151360544217687,0.12053358742258218
15_6,0.1797570850202429,0.09875444839857651
15_7,0.13533834586466165,0.07258064516129033
16,0.10100446428571429,0.0531883632089333
160,0.0015345780466378286,0.0007678782078390349
161,0.0011258579253902612,0.0005632460301986525
162,0.021301381261441172,0.010765349032800672
163,0.49640685461580986,0.3301470588235294
163_0,0.3803418803418803,0.23482849604221637
163_1,0.42089093701996927,0.26653696498054474
163_2,0.4419831223628692,0.28368314150304674
163_3,0.4609503003823048,0.2995031937544358
163_4,0.46686217008797654,0.3045141545524101
163_5,0.4340983606557377,0.27721943048576214
163_6,0.4235294117647059,0.26865671641791045
163_7,0.005304126196872632,0.002659115239838381
164,0.5204402515723271,0.3517534537725824
164_0,0.22527944969905417,0.12693798449612403
164_1,0.345531914893617,0.2088477366255144
164_2,0.4868421052631579,0.3217391304347826
164_3,0.5770609318996416,0.40554156171284633
164_4,0.5094806265457543,0.3418141592920354
164_5,0.5280289330922242,0.35872235872235875
164_6,0.47116324535679377,0.30818414322250637
164_7,0.30594405594405594,0.18059855521155832
165,0.024002087138012,0.012146818061790335
166,0.005839000249225621,0.0029280485627566507
167,0.451831750339213,0.2918492550394391
167_0,0.1645484949832776,0.08965014577259475
167_1,0.23892100192678228,0.13566739606126915
167_2,0.31498637602179835,0.1869340232858991
167_3,0.3670814479638009,0.22480083131278145
167_4,0.4675716440422323,0.3051181102362205
167_5,0.43575418994413406,0.2785714285714286
167_6,0.39836660617059894,0.24872521246458923
167_7,0.2922279792746114,0.17111650485436894
168,0.01602747567258157,0.008078476630121177
169,0.15426008968609867,0.08357628765792031
16_0,0.05894263217097863,0.030366249420491424
16_1,0.06749509483322433,0.03492622174089617
16_2,0.11739469578783152,0.062357571990884604
16_3,0.09168765743073048,0.04804646251319958
16_4,0.05484938185617273,0.028198012711485095
16_5,0.09270148737461086,0.048603554588320635
16_6,0.09974958263772955,0.052492861849330115
16_7,0.0760655737704918,0.03953646898432175
17,0.0014361429304154557,0.0007185874623597044
170,0.023135221380135622,0.011702986279257466
171,0.0029558966779752107,0.001480135903387493
172,0.0032128304252429215,0.0016089999345934986
173,0.0013678895210931475,0.0006844128611369991
174,0.011421515665997839,0.005743557901272896
175,0.011367224502683928,0.0057161003493172435
176,0.06916685380642264,0.035822284252151664
177,0.18184397163120566,0.10001560305819941
177_0,0.11607900157518478,0.061615641883200414
177_1,0.12895823772372647,0.06892322786362522
177_2,0.1898637268412188,0.10488918964642192
177_3,0.2030645410927101,0.11300602928509905
177_4,0.2061290322580645,0.11490739075705808
177_5,0.2309682187730968,0.13056193858366408
177_6,0.18358493840013881,0.10106992739778373
177_7,0.16135800114438298,0.08775933609958506
178,0.001329198050509526,0.0006650410108623365
179,0.007767377016530572,0.0038988303508947315
18,0.04008502884907379,0.020452432599938022
180,0.23921085080147966,0.13585434173669467
180_0,0.058390638195198456,0.030073319249409716
180_1,0.11336982017200939,0.06009117281392457
180_2,0.11812297734627832,0.06276870163370593
180_3,0.23931623931623933,0.13592233009708737
180_4,0.010949856609020597,0.005505068157986718
180_5,0.21175453759723423,0.11841469308844853
180_6,0.27990762124711316,0.16272824919441461
180_7,0.24653863331844572,0.14060112073357106
181,0.0021729799334692565,0.0010876717111358784
182,0.4777385159010601,0.3138347260909935
182_0,0.3674911660777385,0.22510822510822512
182_1,0.3945868945868946,0.24578527062999111
182_2,0.41304347826086957,0.2602739726027397
182_3,0.43849136411702505,0.28081264108352144
182_4,0.4839523981247746,0.3192197906755471
182_5,0.48628613787991104,0.32125367286973555
182_6,0.4653123802223074,0.3031968031968032
182_7,0.41183339820942,0.2593137254901961
183,0.0008856682769726248,0.00044303032743968747
184,0.001994097471484406,0.000998043834085193
185,0.00166904073322686,0.0008352173725213485
186,0.001541128876902331,0.000771158665895508
187,0.0023707555827470173,0.0011867845794571417
188,0.0011143302874972142,0.0005574757498048835
189,0.0,0.0
19,0.0,0.0
190,0.24385510996119017,0.13885819521178638
190_0,0.0,0.0
190_1,0.0,0.0
190_2,0.0,0.0
190_3,0.25833333333333336,0.14832535885167464
190_4,0.16509587260318492,0.08997520368402409
190_5,0.1295315682281059,0.06925087108013937
190_6,0.0,0.0
190_7,0.0,0.0
191,0.1439509954058193,0.07755775577557755
191_0,0.043373493975903614,0.022167487684729065
191_1,0.17219917012448133,0.094211123723042
191_2,0.08151549942594719,0.04248952722920407
191_3,0.0,0.0
192,0.049001130795326045,0.02511591962905719
193,0.052603892688058915,0.02701242571582928
194,0.42159763313609466,0.26710402999062793
194_0,0.0025592672413793103,0.0012812731809292602
194_1,0.33279483037156704,0.1996124031007752
194_2,0.3792784458834413,0.23401826484018265
194_3,0.38837920489296635,0.2409867172675522
194_4,0.4799301919720768,0.3157290470723307
194_5,0.775609756097561,0.6334661354581673
194_6,0.017635185381918623,0.008896034297963559
194_7,0.10460772104607721,0.05519053876478318
195,0.0023787677982804907,0.0011908002177463256
196,0.0010324179227751394,0.0005164755707055056
197,0.3731193580742227,0.22934648581997533
197_0,0.14849187935034802,0.08020050125313283
197_1,0.2146690518783542,0.12024048096192384
197_2,0.33725490196078434,0.2028301886792453
197_3,0.3617677286742035,0.22082810539523212
197_4,0.4057142857142857,0.25448028673835127
197_5,0.30403800475059384,0.1792717086834734
197_6,0.08871420550252666,0.046415981198589897
197_7,0.0016990291262135922,0.0008502368516944005
198,0.67591763652641,0.5104800540906017
198_0,0.5322371267849416,0.3626179245283019
198_1,0.5614035087719298,0.3902439024390244
198_2,0.5946173254835997,0.42309994015559543
198_3,0.6383872322553549,0.4688463911165947
198_4,0.6229819563152896,0.45241379310344826
198_5,0.5471032745591939,0.3765603328710125
198_6,0.5166093928980527,0.34826254826254827
198_7,0.49155975692099935,0.3258728737690242
199,0.2857142857142857,0.16666666666666666
199_0,0.2260047281323877,0.12739872068230276
199_1,0.2971014492753623,0.17446808510638298
199_2,0.328125,0.19626168224299065
199_3,0.27881227981882234,0.16198830409356726
199_4,0.274364406779661,0.15899324739103746
